"Date","Price","Open","High","Low","Vol.","Change %"
"01-01-2025","236.95","237.81","239.24","236.35","9.42M","-0.96%"
"31-12-2024","239.25","232.65","239.90","232.35","12.00M","2.84%"
"30-12-2024","232.65","236.05","237.00","231.15","19.40M","-1.79%"
"27-12-2024","236.90","240.00","241.00","236.30","6.49M","-1.39%"
"26-12-2024","240.25","240.00","242.00","239.00","6.33M","0.54%"
"24-12-2024","238.95","241.00","243.25","238.60","3.58M","-0.79%"
"23-12-2024","240.85","238.25","242.30","236.85","7.72M","1.58%"
"20-12-2024","237.10","241.50","244.15","235.30","15.56M","-1.96%"
"19-12-2024","241.85","240.00","243.95","238.55","9.52M","-0.94%"
"18-12-2024","244.15","247.40","247.50","243.40","8.43M","-1.31%"
"17-12-2024","247.40","251.75","252.45","246.50","10.07M","-1.75%"
"16-12-2024","251.80","254.00","256.30","251.20","7.28M","-0.96%"
"13-12-2024","254.25","253.00","256.80","249.50","11.14M","0.08%"
"12-12-2024","254.05","258.00","258.60","253.60","7.12M","-0.99%"
"11-12-2024","256.60","257.50","258.70","255.65","5.35M","-0.12%"
"10-12-2024","256.90","257.65","258.75","254.50","11.32M","-0.77%"
"09-12-2024","258.90","260.05","261.35","257.70","6.80M","-0.44%"
"06-12-2024","260.05","260.80","263.00","259.55","8.78M","-0.48%"
"05-12-2024","261.30","260.70","263.25","256.90","12.90M","0.23%"
"04-12-2024","260.70","263.85","264.30","260.00","10.71M","-0.63%"
"03-12-2024","262.35","260.40","264.70","258.85","15.35M","1.86%"
"02-12-2024","257.55","255.50","258.30","252.70","13.68M","0.33%"
"29-11-2024","256.70","253.80","258.65","252.25","11.48M","1.78%"
"28-11-2024","252.20","255.00","257.40","251.20","14.20M","-0.83%"
"27-11-2024","254.30","255.00","255.50","250.55","11.69M","0.02%"
"26-11-2024","254.25","256.95","258.25","252.55","9.24M","-1.42%"
"25-11-2024","257.90","248.50","260.50","247.95","31.97M","5.01%"
"22-11-2024","245.60","244.80","246.95","243.50","9.64M","1.42%"
"21-11-2024","242.15","248.00","248.00","240.80","16.19M","-2.36%"
"19-11-2024","248.00","250.00","255.40","247.10","17.40M","-1.06%"
"18-11-2024","250.65","251.10","252.10","247.10","14.64M","-0.06%"
"14-11-2024","250.80","252.55","254.30","249.00","12.45M","-0.69%"
"13-11-2024","252.55","256.15","256.95","249.00","17.48M","-1.41%"
"12-11-2024","256.15","260.85","263.20","255.40","22.45M","-0.29%"
